Chord,Root_en,Root_es,Quality,Symbol,Fret,Fingering,Barre
Am7,A,La,Menor 7,m7,1120,1120,1100
AmMaj7,A,La,Menor Maj7,mMaj7,1220,1320,
Adim,A,La,Disminuido,dim,1310,1310,1111
Aaug,A,La,Aumentado,aug,2330,1320,
Asus2,A,La,Suspendida 2,sus2,0320,0320,
Asus4,A,La,Suspendida 4,sus4,3320,3210,
A7sus4,A,La,Séptima Sus4,7sus4,3120,3120,
A6,A,La,Sexta,6,2020,3020,
Am6,A,La,Menor 6,m6,1020,1020,
A9,A,La,Novena,9,0124,0124,
Aadd9,A,La,Add 9,add9,0324,0213,
Adim7,A,La,Dim7,dim7,1010,2010,
Am7b5,A,La,Semidismin.,m7b5,1110,1110,1110
A#maj,A#,La#,Mayor,maj,3435,1213,3333
A#m,A#,La#,Menor,m,2431,2431,
A#7,A#,La#,Séptima,7,3231,4231,
A#Maj7,A#,La#,Mayor 7,Maj7,3430,2310,
A#m7,A#,La#,Menor 7,m7,2231,3241,
A#mMaj7,A#,La#,Menor Maj7,mMaj7,2331,2431,
A#dim,A#,La#,Disminuido,dim,2424,1312,2222
A#aug,A#,La#,Aumentado,aug,3001,3001,
A#sus2,A#,La#,Suspendida 2,sus2,1431,1431,1111
A#sus4,A#,La#,Suspendida 4,sus4,4431,4321,
A#7sus4,A#,La#,Séptima Sus4,7sus4,4231,4231,
A#6,A#,La#,Sexta,6,3131,4131,1111
A#m6,A#,La#,Menor 6,m6,2131,2131,1111
A#9,A#,La#,Novena,9,1201,2301,
A#add9,A#,La#,Add 9,add9,3433,1211,3333
A#dim7,A#,La#,Dim7,dim7,2121,4231,
A#m7b5,A#,La#,Semidismin.,m7b5,2221,4321,
Bmaj,B,Si,Mayor,maj,0012,0012,
Bm,B,Si,Menor,m,0002,0002,
B7,B,Si,Séptima,7,0010,0010,
BMaj7,B,Si,Mayor 7,Maj7,0011,0021,
Bm7,B,Si,Menor 7,m7,0000,0000,
BmMaj7,B,Si,Menor Maj7,mMaj7,0001,0001,
Bdim,B,Si,Disminuido,dim,0535,0312,
Baug,B,Si,Aumentado,aug,0112,0213,
Bsus2,B,Si,Suspendida 2,sus2,0044,0032,
Bsus4,B,Si,Suspendida 4,sus4,0022,0032,
B7sus4,B,Si,Séptima Sus4,7sus4,0020,0020,
B6,B,Si,Sexta,6,4242,4131,2222
Bm6,B,Si,Menor 6,m6,3242,2131,2222
B9,B,Si,Novena,9,2010,3020,
Badd9,B,Si,Add 9,add9,2012,3012,
Bdim7,B,Si,Dim7,dim7,3232,4231,
Bm7b5,B,Si,Semidismin.,m7b5,3332,4321,
